"",gene_symbol,GSM2668081,GSM2668082,GSM2668083,GSM2668084,GSM2668085,GSM2668086,GSM2668087,GSM2668088,GSM2668089
ENSG00000226688,ENTPD1-AS1,65.3795,55.5606,70.4111,65.789,91.7169,108.0742,94.3651,139.0319,113.5544
ENSG00000226690,LOC102725191,4.3105,2.6947,2.2435,2.6619,0,5.2537,6.4758,5.1067,7.2625
ENSG00000226696,LENG8-AS1,36.4986,30.5972,39.9013,91.5674,65.2822,40.7874,65.2138,56.7426,50.5329
ENSG00000226704,HSPA1L,24.0362,20.9591,18.933,38.1657,44.9608,4.9954,15.0572,4.0089,24.0153
ENSG00000226706,LOC101928525,15.3249,9.166,13.3826,23.4939,17.4658,22.4677,18.2174,4.0319,9.0904
ENSG00000226710,C6orf48,363.2575,320.3993,326.9281,462.2381,422.8259,418.8194,316.3372,306.2277,391.1574
ENSG00000226711,FAM66C,24.1718,26.4631,29.9062,25.2725,22.8864,18.7905,15.4619,23.0201,16.5641
ENSG00000226717,PTPRD-AS2,4.2034,4.1014,2.1972,5.0806,9.0502,2.1716,4.2456,6.4103,2.1667
ENSG00000226722,LINC00424,0,0,0,0,0,0,0,0,0
ENSG00000226725,PABPC1L2B-AS1,0,0,0,0,0,0,0,0,0
ENSG00000226741,LOC100507657,0,0,0,0,0,0,0,0,0
ENSG00000226742,HSBP1L1,566.9591,510.7498,476.7201,596.7474,426.4775,573.2954,549.37,594.643,668.2054
ENSG00000226746,SMCR5,1.0011,9.9757,8.9607,6.0259,4.5233,4.5013,20.8248,37.647,22.0376
ENSG00000226747,LOC101927196,0.9955,2.0165,3.0465,0,0,0,0.9864,0,0.9995
ENSG00000226754,LOC100507564,11.3177,10.578,19.0387,11.9851,13.6153,22.1921,17.7234,23.7808,20.2797
ENSG00000226757,PP12613,0,0,0,0,0,0,0,0,0
ENSG00000226758,DISC1-IT1,4.145,0,6.1045,3.2749,2.429,3.0336,9.9261,12.0144,6.9288
ENSG00000226759,DAB1-AS1,6.5299,1.9953,3.6679,3.0215,1.0035,0,17.492,22.0009,6.6327
ENSG00000226761,TAS2R46,0,0,0,0,0,0,0,0,0
ENSG00000226763,SRRM5,28.3886,32.4048,34.0291,25.0261,30.9111,41.0909,22.8434,21.5597,31.1894
ENSG00000226770,LOC100506682,0,1.004,0,1.9889,0,0,0,0,0
