Gene	Group
SNHG12	example1
ZNF587B	example1
PM20D2	example1
RFC3	example1
DTX3	example1
GNB4	example1
COQ10A	example1
SPATA33	example1
RSAD1	example1
ZNF417	example1
THBS1	example1
ATAT1	example1
GEMIN6	example1
ENTPD5	example1
CD3EAP	example1
OAS3	example1
FAM46B	example1
GPRC5B	example1
CHCHD7	example1
CDH10	example1
HOXB8	example1
SYT1	example1
ANAPC4	example1
BBS10	example1
ARL10	example1
MICALL2	example1
ZNF639	example1
PGM5P2	example1
TSKU	example1
RBMXL1	example1
PLEKHA5	example1
ESRP2	example1
DPY19L2	example1
MAP9	example1
MMACHC	example1
STARD9	example1
UGT8	example1
PAPPA	example1
ZNF551	example1
TLN2	example1
AGL	example1
GCH1	example1
FANCF	example1
SYTL2	example1
ZNF180	example1
SFI1	example1
POLE2	example1
G0S2	example1
NETO2	example1
PRPS2	example1
GCNT1	example1
GLCE	example1
TOE1	example1
NR1D2	example1
HIVEP3	example1
KLHL29	example1
ARHGEF40	example1
SYTL4	example1
MYEOV	example1
SPIN4	example1
RPS6KL1	example1
DLEU1	example1
ZNF254	example1
DSCC1	example1
C19orf66	example1
SAMD12	example1
MORN1	example1
MTURN	example1
ZBTB18	example1
GINS1	example1
KBTBD6	example1
CDPF1	example1
TICAM2	example1
WDR76	example1
TTC14	example1
GK5	example1
NINL	example1
NRIP3	example1
DGAT2	example1
ZNF22	example1
WSCD1	example1
C5orf24	example1
C8orf48	example1
STAG3L1	example1
RPS29	example1
H6PD	example1
C17orf104	example1
CHST10	example1
MKL2	example1
AMER1	example1
CLEC14A	example1
SAC3D1	example1
TMEM136	example1
BLM	example1
RPS6KA1	example1
ELFN2	example1
NCR3LG1	example1
SLC25A4	example1
TTC31	example1
FIGNL1	example1
THBS2	example1
ARL4D	example1
GDNF	example1
ATHL1	example1
LOXL1-AS1	example1
DMD	example1
HNRNPR	example1
IFT81	example1
RAB27A	example1
ENTPD1	example1
HILPDA	example1
CLUAP1	example1
GRAMD3	example1
ADD3	example1
RGL1	example1
RIMKLB	example1
ZNF431	example1
PCNA-AS1	example1
RELB	example1
MAT2A	example1
KAZN	example1
RBBP9	example1
ZFP62	example1
PSMG3	example1
TMEM47	example1
RPP40	example1
TCFL5	example1
CHST3	example1
KDM1B	example1
CENPI	example1
DCLK1	example1
C5orf42	example1
PCNA	example1
AGFG2	example1
BICC1	example1
AVPI1	example1
PLS1	example1
FERMT1	example1
AKAP1	example1
ENPP4	example1
RNPC3	example1
DNAJC18	example1
RAB33B	example1
CCDC150	example1
TEF	example1
PSD3	example1
CYP1B1	example1
TRIM56	example1
PATZ1	example1
TSPYL4	example1
ZRANB2	example1
ZYG11A	example1
KLHL23	example1
ZNF512B	example1
FAM169A	example1
POLA1	example1
GREB1L	example1
SRSF5	example1
ETV4	example1
TIAM1	example1
MOCS1	example1
BAHCC1	example1
FAM200B	example1
HS6ST1	example1
CDK15	example1
NUAK2	example1
CEP83	example1
EMC3-AS1	example1
ADCK4	example1
PACRGL	example1
CCDC15	example1
SERF1A	example2
TMEM256-PLSCR3	example2
RAB4B-EGLN2	example2
UBE2F-SCLY	example2
C1orf68	example2
ANKRD20A2	example2
DCN	example2
CLDN17	example2
CCL7	example2
RPTN	example2
KCNH5	example2
CLEC3A	example2
SFRP4	example2
ADCYAP1	example2
FAM24B-CUZD1	example2
KRT84	example2
A2M	example2
CGB8	example2
OLFM4	example2
LRCH2	example2
COL3A1	example2
COLCA2	example2
LOC101927686	example2
CBFA2T3	example2
MAFA-AS1	example2
BAALC	example2
CCDC184	example2
ATP10B	example2
TGM2	example2
WISP2	example2
AGR2	example2
LMO1	example2
CLDN8	example2
