	Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NM_001010887	31	30	29	59	46	51
NM_001300953	5.28	20.81	0	0	0	0
NM_001300954	0	0	0	0	0	0
NM_001300955	0	0	0	0	0	0
NM_018367	261.72	263.19	171	332	300	266
NM_000665	0	0	0	8.26	0	0
NM_001282449	2	2	0	1.74	3	0
NM_001302621	0	0	0	0	0	4
NM_001302622	0	0	2	0	0	0
NM_015831	0	0	0	0	0	0
NM_001164814	333	481.11	311.31	389.7	186.74	281.72
NM_001164815	675.66	485.33	445.5	422.46	508.93	303.24
NM_001164816	752.53	740.94	482.81	644.23	619.57	236.05
NM_001164817	429.22	281.75	204.05	477.43	222.68	474.65
NM_014977	0	0	0	0	0	0
NM_001122951	0	0	0	0	0	0
NM_002036	0	0	0	0	0	0
NM_001296	2	0	0	0	2	0
NM_020311	6	4	3	2	2	2
NM_016557	25	20	9	1	4	1
NM_178445	0	0	0	0	0	0
NM_001096	1760.09	2534.46	1529.78	3988.99	3669.96	3441.57
NM_001303274	1049.17	1365.73	704.19	2089.07	1809.97	1898.08
NM_001303275	939.08	987.52	608.02	1074.02	941.73	922.57
NM_198830	1581.66	1842.29	1329	2064.92	1924.35	1683.78
NM_001307983	0	0	0	0	0	0
NM_138326	0	0	0	0	0	0
NM_001278352	117.67	231.3	110.14	174.48	89.12	53.25
NM_002197	3077.33	3369.7	2446.86	3895.52	3578.88	3065.75
NM_001098	1212.45	1348.54	924.45	1569.75	1563.29	1426.79
NM_001037161	135.4	190.64	109.32	96.35	81.38	63.82
NM_015547	0	0	0	0	0	16.35
NM_147161	32	36	14	53	58.53	18.65
NM_130767	1	1	2	0	0	1
NM_001160094	14.22	31.67	12.24	0	6.16	0
NM_018473	505.43	554.04	358.02	310.03	293.16	296.33
NM_006821	614.79	628.16	453.16	334.21	329.49	264.43
NR_046028	20.8	16.2	9.52	2.44	5.14	7.75
NM_152331	13	15	9	4	7	5
NM_001037162	0	0	0	0	0	0
NM_007274	182.16	310.33	210.24	367.44	422.67	325.04
NM_181864	7.08	14	0	29.4	29.11	42.41
NM_181865	0	0	0	0	0	0
NM_181866	494.74	504.67	322.74	726.15	648.22	635.55
NM_005469	276.69	336.99	248.72	385.11	352.58	336.09
NM_001033583	28.77	88	32.96	131.65	124.45	99.14
NM_001037171	653.23	742	563.04	875.35	821.55	731.86
NM_001185039	76.52	0	21.17	0	54.13	94.58
NM_004035	244.21	458.79	188.31	894.26	574.53	590.13
NM_007292	227.85	180.24	209	152.21	313.71	163.82
NM_003500	12	12	8	4	3	1
NM_001101667	134.84	93.42	63.2	26.31	49.48	57.41
NM_003501	281.16	377.58	253.8	260.69	204.52	169.59
NM_001142807	1	0	0	0	0	0
NM_001040649	4.48	8.05	9.8	0	5.43	2.88
NM_004300	1109.33	1110.82	695.1	923.15	928.45	784.71
NM_007099	225.61	253.17	159.83	371.32	252.44	196.54
NR_024080	101.58	154.96	112.28	135.53	66.68	208.88
NM_001302489	0	0	0	0	0	0
NM_001302490	0	0	0	0	0	0
NM_001302491	0	0	0	0	0	0
NM_001302492	0	17.06	0	0	0	0
NM_001610	628	637.94	504	486	454	401
NM_001111034	0	0	0	0	0	0
NM_001111035	0	0	0	0	0	0
NM_001111036	0	0	0	0	0	0
NM_001611	2	0	0	30	28	15
NM_016361	139	110	75	202	194	143
NM_001099	8.54	0.01	17.43	106.15	68.2	84.56
NM_001134194	19.46	18.25	7.57	72.83	66.8	60.44
NM_001292037	0	7.74	0	24.03	0	0
NM_033068	0	0	0	0	0	0
NM_001097	0	0	0	0	1	1
NM_032489	0	1	0	0	0	0
NM_052957	21	18	10	20	14	16
NM_001612	0	0	0	0	0	0
NM_020069	0	0	1	0	0	0
NM_020107	0	0	0	0	0	0
NM_020108	1	1	0	0	0	0
NM_001199377	9	4	2	9	2	3
NM_015162	0	0	0	0	0	0
NM_001289177	0	0	0	0	0	0
NM_001289178	0	0	0	0	0	0
NM_001289179	0	0	0	0	0	0
NM_001289180	0	0	0	0	0	1
NM_030924	0	0	0	0	0	0
NM_001288968	0	0	0	0	0	0
NM_001288969	0	0	0	0	0	0
NM_001288970	0	0	0	0	10.54	11.73
NM_001288971	0	0	0	0	0	0
NM_001288972	41.06	0	40.37	0	0	0
NM_025149	156.94	188	104.63	123	87.46	100.27
NR_110232	0	0	0	0	0	0
NM_001127214	39.85	0	73.17	16.82	0	39.86
NM_001243279	168.64	237.43	81.77	212.18	167.31	120.71
NM_001284316	0	0	0	0	0	0
NM_174917	0	0	28.06	0	34.69	20.43
NR_045667	2.51	2.57	0	0	0	0
NR_104293	0	0	0	0	0	0
NM_001286708	32.1	0	0	0.77	0	0
NM_001286710	0	0	0	0	0	0
NM_001286711	0	0	30.11	0	0	121.01
NM_001286712	0	0	0	0	0	0
NM_001995	496.9	589	333.89	670.23	613	370.99
NM_004457	828.48	1103.02	589.63	843.76	1027.14	989.04
NM_203372	1355.52	1280.98	1050.37	1278.24	1090.86	1017.96
NM_004458	2425.55	2735.81	1793.21	3440.29	2824.77	2606.7
NM_022977	288.45	301.19	193.79	200.71	145.23	204.3
NM_016234	78.05	78.81	70.8	90.46	134	87.69
NM_203379	0	0	18.2	0	0	0
NM_203380	16.95	9.19	0	26.54	0	26.31
NM_001009185	0	0	0	0	0	0
NM_001205247	0	0	0	0	0	0
NM_001205248	0	0	0	0	0	0
NM_001205250	0	0	0	0	0	0
NM_001205251	0	1	0	0	0	0
NM_015256	0	0	0	0	0	0
NM_052956	0	0	0	0	0	0
NM_001010845	0	0	0	0	0	0
NM_001308169	0	0	0	0	0	0
NM_001308172	0	0	0	0	0	0
NM_001308954	0	0	0	0	0	0
NM_001105069	0	0	0	0	0	0
NM_182617	0	0	0	0	0	0
NM_005622	5.84	0	1.11	0	0	0
NM_202000	0	4	0	0	0	1
NM_001080454	0	0	0	2	0	4
NM_017888	0	0	0	0	0	0
NM_207321	0	0	0	0	0	0
NM_001252675	0	0	69.97	0	0	20.36
NM_001252676	0	0	0	17.14	0	0
NM_001252677	0	0	0	0	2.1	3.63
NM_032501	96	131	0.03	20.86	31.9	0
NM_001076552	0	0	0	0	0	0
NM_001242393	0	0	0	0	0	0
NM_018677	559	578	399	365	374	358
NM_024560	144	138	115	94	84	81
NM_001100	1	3	0	0	0	0
NM_001141945	1159.67	1170.04	806.2	945.08	843.37	913.03
NM_001613	17255.33	19178.67	11690.63	988.92	965.52	702.76
NR_125373	55.01	39.01	35.17	0	6.12	1.21
NM_001101	107747.7	128971.3	83075.85	79970.46	68489.75	67893.63
NM_001017992	2	1	0	1	1	0
NM_005159	0	3	0	0	0	0
