WT_1	WT_2	KO_1	KO_2
Cap2	16.6233707014852	17.8574342266349	70.0429925655553	85.5513813143037
Car12	127.792162267668	148.111660350325	267.600151083788	222.026203887121
Casq1	18.7012920391709	11.5548103819402	66.4510442288601	49.9049724333438
Casq2	45.7142694290843	47.26967883521	309.805544039956	299.429834600063
Cav3	14.5454493637996	16.8069969191858	84.4107859123358	73.3297554122603
Ccdc88c	1.03896066884283	3.15131192234733	28.7355866935611	22.4063141537462
Ccl6	797.92179367129	805.685414813467	1237.42620199148	1186.51618132338
Ccl8	215.064858450465	216.390085334517	447.197567918545	382.944278264026
Ccl9	534.025783785213	561.983959485274	823.454156187361	804.590371884523
Ccnd1	202.597330424351	199.583088415331	393.318342868118	349.334807033407
Ccr1	134.025926280725	122.901164971546	236.170603137706	245.450986866038
Cd163	1084.67493827191	1140.77491588973	2461.38259772035	2492.19321519168
Cd200r1	72.7272468189978	60.9253638320484	152.657804309544	158.881136726564
Cd36	4051.94660848702	4000.06526676621	4570.75425844457	4865.22557783844
Cd38	307.532357977476	311.979880312386	464.259322517847	457.292502501457
Cd44	2124.67456778358	2048.35274952576	2694.85923960553	2724.4041073305
Cd53	131.948004943039	138.657724583283	217.312874370056	216.93385976127
Cd68	396.882975497959	391.813115678518	713.899731918159	731.260616472262
Cd84	191.16876306708	212.18833610472	371.766652847947	334.057774655852
Cdcp1	2.07792133768565	1.05043730744911	45.7973412928631	35.6464088809599
Cdh1	7.27272468189978	7.35306115214377	170.617545993019	144.62257317418
Cdh15	11.4285673572711	10.5043730744911	56.5731863029485	61.1081295102169
Cdh3	8.31168535074261	5.25218653724555	69.1450054813815	74.3482242374306
Cdkn1a	1752.72664833785	1871.87928187431	2401.2174630807	2275.25935543041
Cfb	2891.42754138958	2889.7530327925	4511.4871108891	4738.93544351732
Ch25h	174.545392365595	154.414284195019	271.192099420483	253.5987374674
Chd7	108.051909559654	97.6906695927672	189.475274760669	173.139700278948
Chrna1	63.3766007994124	40.9670549905153	387.930420363075	368.685714711642
Chrnb1	23.896095383385	16.8069969191858	54.7772121346009	74.3482242374306
Chrnd	9.35064601958543	12.6052476893893	80.8188375756407	81.4775060136226
Chrng	15.5844100326424	21.0087461489822	146.371894720327	145.64104199935
Cilp	226.493425807736	202.734400337678	652.836610194342	686.44798816477
Ckm	6.23376401305696	4.20174922979644	27.8375996093873	39.720284181641
Cldn4	8.31168535074261	7.35306115214377	151.75981722537	111.013101943561
Clec10a	51.9480334421413	44.1183669128626	130.208127205199	152.770323775542
Clec4d	556.882918499755	579.841393711909	959.050205897603	967.545383911768
Cndp2	2171.42779788151	2253.18802447834	2665.2256658278	2594.04009770871
Col17a1	3.11688200652848	3.15131192234733	167.923584740498	171.102762628607
Col1a1	296178.595788362	291861.90500012	329934.822518796	330205.925559058
Col5a2	73249.8440354257	71943.4007498821	79570.6355286391	81974.5188003057
Col5a3	8298.17886204765	8217.57105617439	9810.50889459861	10502.4505251559
Col7a1	129.870083605353	136.556849968384	279.273983178047	249.524862166719
